!!!!!ΣΗΜΑΝΤΙΚΑ!!!!!,,,,,,,,
ΗΥ-330,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=79,Εισαγωγή στη Θεωρία των Τηλεπικοινωνιακών Συστημάτων,ΠΑΠΑΔΑΚΗΣ ΣΤ.,9-11 Α.125,,,9-11 Α.125,
ΗΥ-335,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=21,Δίκτυα Υπολογιστών,ΠΑΠΑΔΟΠΟΥΛΗ,11-1 ΑΜΦ Α,,11-1 ΑΜΦ Α,,11-1 Α.117 (ΦΡΟΝΤ)
ΗΥ-345,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=23,Λειτουργικά Συστήματα,ΜΑΡΚΑΤΟΣ,,5-7 ΑΜΦ Α,,5-7 ΑΜΦ Α,5-7 ΑΜΦ Α (ΦΡΟΝΤ)
ΗΥ-352,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=92,Τεχνολογία Λογισμικού,ΣΑΒΒΙΔΗΣ,9-11 Α.121,11-1 Α.125 (ΦΡΟΝΤ),,,9-11 Α.125
ΗΥ-358,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=93,Γραφική,ΠΑΠΑΓΙΑΝΝΑΚΗΣ/ΚΑΜΑΡΙΑΝΑΚΗΣ,,5-7 Η.210 (ΦΡΟΝΤ),5-7 Η.210,5-7 Η.210,
ΗΥ-359,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=94,Διαδικτυοκεντρικός Προγραμματισμός,ΜΟΥΝΤΑΝΤΩΝΑΚΗΣ,1-3 Α.113,,1-3 Α.113 (ΦΡΟΝΤ),1-3 Α.113,
ΗΥ-360,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=24,Αρχεία και Βάσεις Δεδομένων,ΠΛΕΞΟΥΣΑΚΗΣ,3-5 ΑΜΦ Α,,3-5 ΑΜΦ Α,,3-5 Α.113 (ΦΡΟΝΤ)
ΗΥ-370,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=80,Ψηφιακή Επεξεργασία Σημάτων,ΣΤΥΛΙΑΝΟΥ,9-11 Α.113 (ΕΡΓ/ΡΙΟ),9-11 Α.113,,9-11 Α.113,
ΗΥ-371,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=233,Ψηφιακή Επεξεργασία Εικόνων,ΚΟΜΟΝΤΑΚΗΣ,,3-5 Η.208,3-5 Η.208,,3-5 Α.125 (ΦΡΟΝΤ)
ΗΥ-425,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=90,Αρχιτεκτονική Υπολογιστικών Συστημάτων,ΠΑΠΑΕΥΣΤΑΘΙΟΥ,1-3 Η.204,,1-3 Η.204,,1-3 Η.204
ΗΥ-439,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=84,Κινητά Υπολογιστικά Συστήματα,ΠΑΠΑΔΟΠΟΥΛΗ,5-7 Η.204,,5-7 Η.204,,5-7 Η.204
ΗΥ-452,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=95,Εισαγωγή στην Επιστήμη και την Τεχνολογία των Υπηρεσιών,ΜΑΓΚΟΥΤΗΣ/ΠΙΤΙΚΑΚΗΣ/ΜΠΙΤΣΑΚΗ/ΖΕΓΚΙΝΗΣ,,,3-5 Η.204,,3-5 Η.204
ΗΥ-454,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=278,Τεχνολογία Ανάπτυξης Έξυπνων Διεπαφών και Παιχνιδιών,ΣΑΒΒΙΔΗΣ,11-1 Α.121 (ΦΡΟΝΤ),9-11 Α.121,,9-11 Α.121,
ΗΥ-458,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=266,Εισαγωγή στην Κρυπτογραφία,ΜΑΡΚΑΤΟΣ/ΜΑΝΙΦΑΒΑΣ,11-1 Α.125,,11-1 Α.125 (ΦΡΟΝΤ),,11-1 Α.125
ΗΥ-459,https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&area_id=6&course=99&lang=gr,Μέτρηση και Εποπτεία του Διαδικτύου,ΔΗΜΗΤΡΟΠΟΥΛΟΣ,3-5 Α.113,,3-5 Α.113,,
ΗΥ-469,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=232,Σύγχρονα Θέματα Αλληλεπίδρασης ΑνθρώπουΥπολογιστή,ΛΕΩΝΙΔΗΣ,5-7 Α.113,,5-7 Α.113,,5-7 Α.113 (ΦΡΟΝΤ)
ΗΥ-472,https://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog&area_id=8&lang=gr&course=107,Υπολογιστική Όραση,ΑΡΓΥΡΟΣ,,1-3 Η.204,,1-3 Η.204,1-3 Ε.311 (ΦΡΟΝΤ)
ΗΥ-484,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=113,Δυναμική Πολύπλοκων Δικτύων,ΘΕΣΗ ΔΙΔΑΚΤΙΚΗΣ ΕΜΠΕΙΡΙΑΣ,5-7 Η.206,,5-7 Η.206,,5-7 Η.206 (ΦΡΟΝΤ)
ΗΥ-487,http://www.csd.uoc.gr/CSD/index.jsp?content=courses_catalog_new&openmenu=demoAcc3&lang=gr&course=114,Εισαγωγή στην Τεχνητή Νοημοσύνη,ΤΣΑΜΑΡΔΙΝΟΣ/ΠΙΤΙΚΑΚΗΣ,3-5 Α.121,3-5 Α.121 (ΦΡΟΝΤ),,3-5 Α.121,
ΗΥ-500,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=254,Εισαγωγή στην Ερευνα,ΜΕΛΗ ΔΕΠ ΤΟΥ ΤΜΗΜΑΤΟΣ,,,,11-1 Α.113,
ΗΥ-508,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=256,Τεχνική Συγγραφή στα Αγγλικά,ΡΙΖΟΠΟΥΛΟΥ,,9-11 Η.204,,9-11 Η.204,
ΗΥ-546,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=234,Τύποι και Γλώσσες Προγραμματισμού,ΠΡΑΤΙΚΑΚΗΣ,3-5 Η.206,,3-5 Η.206,,
ΗΥ-559,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=252,Τεχνολογίες Υποδομών για Υπηρεσίες Μεγάλης Κλίμακας,ΜΑΓΚΟΥΤΗΣ,,,,3-5 Η.208,9-11 Η.208
ΗΥ-561,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=223,Διαχείριση Δεδομένων στον Παγκόσμιο Ιστό,ΤΖΙΤΖΙΚΑΣ,,9-11 Η.208,,1-3 Α.125,
ΗΥ-562,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=147,Προχωρημένα Θέματα Βάσεων Δεδομένων,ΚΟΝΔΥΛΑΚΗΣ,1-3 Η.208,,1-3 Η.208,,
ΗΥ-567,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=150,Αναπαράσταση Γνώσης και Συλλογιστική,ΠΛΕΞΟΥΣΑΚΗΣ,,5-7 Η.206,,5-7 Η.206,
ΗΥ-573,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=152,Μέθοδοι βελτιστοποίησης,ΤΣΑΓΚΑΤΑΚΗΣ,1-3 Η.210,,1-3 Η.210,,
ΗΥ-575,https://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&course=154&lang=gr,Εργαστήριο Ρομποτικής Πλοήγησης,ΤΡΑΧΑΝΙΑΣ,,3-5 Η.210,,3-5 Η.210,
ΗΥ-577,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=156,Μηχανική Μάθηση,ΤΣΑΜΑΡΔΙΝΟΣ,11-1 Η.204,,11-1 Η.204,,11-1 Η.204 (ΦΡΟΝΤ)
ΗΥ-578,https://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&lang=gr&course=157,Επεξεργασία Φωνής,ΣΤΥΛΙΑΝΟΥ,9-11 Η.206,,9-11 Η.206,,
ΗΥ-583,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=159,Αλγόριθμοι Γράφων,ΤΟΛΛΗΣ,,3-5 Η.206,,3-5 Η.206,3-5 Η.206 (ΦΡΟΝΤ)
ΗΥ-590.72,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=274,Introduction to Bioinformatics for Computer Scientists,ΣΤΑΜΑΤΑΚΗΣ,,,,,10:00-12:30 Κ.206
ΗΥ-647,https://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&lang=gr&course=268,Σύγχρονα Συστήματα Αποθήκευσης Δεδομένων,ΜΠΙΛΑΣ,5-7 Η.208,,5-7 Η.208,,5-7 Η.208 (ΦΡΟΝΤ)
ΗΥ-672,http://www.csd.uoc.gr/CSD/index.jsp?content=pg_courses_catalog&openmenu=demoAcc4&lang=gr&course=171,Προχωρημένα Θέματα Υπολογιστικής Όρασης,ΑΡΓΥΡΟΣ,,5-7 Ε.311,,5-7 Ε.311,
